term,score
stocks,37811.06423573879
market,28798.783958001495
benzinga,27415.323895774778
vs,26434.623987891795
est,24167.640075332853
earnings,23847.204872798273
eps,21777.60525632632
downgrades,20367.525863803603
week,20338.584546541
reports,20018.233568012478
upgrades,19474.97362258288
shares,19390.08004208022
update,18834.557456369
52,17967.55647226225
pt,16890.20715249154
mid,16083.692147346179
buy,15697.927385640223
session,15553.5932049229
moving,15192.63423405464
announces,15142.484350875142
sales,14627.037341816598
price,14412.460622606784
scheduled,14221.672361429224
raises,13951.644391661624
target,13600.742328611808
day,13581.149435468831
biggest,13256.74632522742
movers,13153.456995136896
maintains,13069.543366627375
trading,12275.620782974982
new,11926.653356196985
00,11560.958003603757
pre,11529.704978401767
10,11295.711437449963
watch,10778.162310815962
yesterday,10712.514299255074
higher,10547.69824039826
friday,10395.774035129054
stock,10392.605130245682
morning,10212.207043132248
neutral,10048.773624350539
hit,9766.462528720293
initiates,9601.628570422945
thursday,9579.400949985331
q4,9571.371101171319
bank,9505.267812254653
lowers,9317.887833685923
says,9280.243100631971
etfs,9209.461741827825
q1,9118.943507792486
